filename,num_alpha_dihedrals,alpha_dihedral_score,num_beta_dihedrals,beta_dihedral_score,ranking_score,cluster_single,cluster_size_single,cluster_average,cluster_size_average,cluster_maximum,cluster_size_maximum,cluster_pairs_min,cluster_size_pairs_min,cluster_pairs_abs,cluster_size_pairs_abs,num_pairs,rmsd,maxsub,tm,msi,filename_experimental,L_experiment,L_prediction,L_joint,L_normalization
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_4_hMIN.pdb,131,57.8,24,11.799999999999999,0.43229813664596267,57,59,37,59,42,19,1,54,1,50,199,3.7769999999999997,0.552,0.644,0.552,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_2_hMIN.pdb,131,44.60000000000001,22,8.600000000000001,0.3304347826086957,57,59,37,59,48,19,0,59,3,8,193,3.572,0.551,0.643,0.551,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_395_1_hMIN.pdb,131,60.2,23,10.799999999999999,0.4409937888198758,57,59,37,59,46,14,1,54,1,50,197,3.4219999999999997,0.574,0.642,0.574,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_362_1_hMIN.pdb,131,53.400000000000006,26,12.799999999999999,0.4111801242236025,57,59,37,59,46,14,1,54,1,50,196,3.3510000000000004,0.5720000000000001,0.642,0.5720000000000001,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_362_2_hMIN.pdb,131,64.0,21,7.2,0.4422360248447205,57,59,37,59,46,14,1,54,1,50,189,3.2460000000000004,0.56,0.639,0.56,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_7_hMIN.pdb,131,55.6,24,11.4,0.4161490683229814,57,59,37,59,42,19,1,54,1,50,183,3.516,0.528,0.638,0.528,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_395_9_hMIN.pdb,131,58.00000000000001,29,9.8,0.4211180124223603,57,59,37,59,46,14,1,54,1,50,189,3.28,0.5589999999999999,0.637,0.5589999999999999,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_395_7_hMIN.pdb,131,59.4,24,11.0,0.43726708074534165,57,59,37,59,46,14,1,54,1,50,198,3.4410000000000003,0.573,0.636,0.573,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_6_hMIN.pdb,131,45.00000000000001,27,12.0,0.3540372670807454,57,59,37,59,42,19,1,54,1,50,175,3.47,0.509,0.633,0.509,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_362_4_hMIN.pdb,131,64.8,28,12.200000000000001,0.4782608695652174,57,59,37,59,46,14,1,54,1,50,187,3.273,0.5529999999999999,0.633,0.5529999999999999,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_395_8_hMIN.pdb,131,61.00000000000001,25,7.800000000000001,0.4273291925465839,57,59,37,59,46,14,1,54,1,50,193,3.395,0.563,0.633,0.563,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_428_9_hMIN.pdb,131,53.800000000000004,25,9.999999999999998,0.39627329192546584,57,59,37,59,42,19,1,54,1,50,177,3.333,0.52,0.633,0.52,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
